iter	Passed	Remaining
0	7	7554
1	17	8949
2	25	8550
3	35	8941
4	48	9591
5	69	11517
6	76	10834
7	87	10876
8	103	11429
9	116	11505
10	126	11343
11	152	12575
12	165	12548
13	175	12349
14	187	12280
15	197	12143
16	206	11916
17	217	11875
18	231	11935
19	242	11879
20	253	11796
21	263	11697
22	271	11523
23	281	11449
24	303	11834
25	313	11728
26	322	11612
27	332	11544
28	346	11608
29	354	11451
30	363	11363
31	383	11604
32	393	11544
33	402	11444
34	413	11389
35	421	11290
36	430	11213
37	440	11139
38	460	11335
39	467	11224
40	476	11137
41	483	11023
42	502	11173
43	512	11133
44	520	11042
45	529	10976
46	537	10896
47	546	10843
48	553	10750
49	562	10682
50	571	10634
51	579	10559
52	594	10614
53	602	10560
54	612	10531
55	628	10589
56	644	10667
57	652	10600
58	661	10552
59	672	10542
60	681	10492
61	691	10463
62	699	10403
63	709	10376
64	716	10308
65	726	10287
66	737	10267
67	746	10226
68	756	10206
69	765	10163
70	775	10147
71	783	10095
72	792	10060
73	800	10017
74	809	9986
75	825	10036
76	835	10014
77	856	10128
78	864	10081
79	888	10215
80	895	10158
81	905	10133
82	912	10084
83	935	10203
84	942	10148
85	962	10231
86	970	10180
87	1007	10441
88	1015	10389
89	1023	10345
90	1029	10286
91	1103	10888
92	1109	10819
93	1118	10778
94	1125	10725
95	1135	10690
96	1142	10639
97	1151	10595
98	1160	10557
99	1167	10511
100	1174	10454
101	1184	10431
102	1192	10384
103	1201	10349
104	1208	10300
105	1237	10436
106	1245	10393
107	1253	10351
108	1263	10325
109	1270	10278
110	1281	10266
111	1289	10219
112	1298	10192
113	1305	10149
114	1316	10128
115	1324	10096
116	1362	10282
117	1370	10247
118	1380	10217
119	1387	10173
120	1396	10146
121	1403	10100
122	1413	10075
123	1420	10036
124	1430	10013
125	1437	9970
126	1445	9936
127	1452	9898
128	1461	9867
129	1469	9834
130	1480	9821
131	1488	9789
132	1498	9766
133	1508	9748
134	1516	9715
135	1526	9697
136	1534	9664
137	1544	9645
138	1558	9650
139	1564	9613
140	1575	9597
141	1582	9560
142	1594	9556
143	1605	9541
144	1613	9512
145	1624	9499
146	1633	9478
147	1642	9457
148	1649	9423
149	1660	9410
150	1668	9381
151	1710	9545
152	1719	9518
153	1743	9575
154	1750	9542
155	1790	9685
156	1797	9651
157	1806	9626
158	1814	9596
159	1823	9574
160	1830	9537
161	1838	9511
162	1846	9479
163	1854	9455
164	1861	9422
165	1871	9403
166	1879	9377
167	1888	9351
168	1897	9330
169	1907	9311
170	1918	9303
171	1930	9292
172	1942	9286
173	1951	9263
174	1960	9242
175	1971	9228
176	1980	9209
177	2021	9337
178	2031	9318
179	2054	9358
180	2063	9336
181	2071	9312
182	2079	9283
183	2087	9256
184	2095	9229
185	2107	9222
186	2117	9204
187	2127	9186
188	2136	9165
189	2142	9135
190	2158	9141
191	2169	9128
192	2190	9160
193	2200	9140
194	2207	9113
195	2222	9117
196	2233	9102
197	2242	9083
198	2270	9140
199	2283	9134
200	2291	9108
201	2305	9105
202	2316	9095
203	2332	9102
204	2340	9077
205	2348	9052
206	2354	9019
207	2365	9007
208	2373	8981
209	2394	9006
210	2402	8984
211	2413	8972
212	2422	8951
213	2432	8932
214	2440	8911
215	2449	8890
216	2457	8868
217	2467	8851
218	2475	8828
219	2484	8809
220	2494	8793
221	2501	8767
222	2514	8761
223	2526	8752
224	2534	8728
225	2542	8708
226	2549	8681
227	2559	8666
228	2567	8644
229	2577	8627
230	2586	8610
231	2609	8636
232	2618	8619
233	2628	8606
234	2636	8583
235	2645	8565
236	2655	8549
237	2662	8525
238	2669	8500
239	2698	8544
240	2708	8529
241	2716	8509
242	2727	8495
243	2759	8550
244	2767	8528
245	2791	8555
246	2800	8536
247	2818	8546
248	2826	8523
249	2834	8503
250	2842	8483
251	2851	8462
252	2860	8446
253	2871	8432
254	2879	8413
255	2888	8393
256	2896	8372
257	2906	8357
258	2913	8336
259	2922	8318
260	2931	8298
261	2939	8280
262	2948	8263
263	2958	8247
264	2969	8237
265	2986	8240
266	2994	8220
267	3004	8206
268	3019	8206
269	3027	8184
270	3035	8165
271	3042	8143
272	3051	8125
273	3058	8103
274	3066	8083
275	3074	8065
276	3083	8049
277	3090	8027
278	3100	8012
279	3110	7999
280	3118	7979
281	3126	7960
282	3135	7943
283	3142	7922
284	3150	7904
285	3157	7883
286	3165	7865
287	3176	7852
288	3188	7843
289	3197	7828
290	3206	7811
291	3233	7840
292	3240	7819
293	3248	7800
294	3255	7780
295	3263	7762
296	3271	7743
297	3312	7803
298	3318	7781
299	3326	7761
300	3333	7741
301	3342	7726
302	3350	7706
303	3356	7684
304	3364	7666
305	3371	7646
306	3379	7629
307	3388	7612
308	3396	7595
309	3405	7580
310	3428	7595
311	3435	7574
312	3444	7559
313	3452	7542
314	3460	7525
315	3467	7505
316	3477	7492
317	3485	7474
318	3495	7462
319	3502	7443
320	3512	7430
321	3519	7411
322	3528	7395
323	3535	7377
324	3544	7360
325	3552	7344
326	3560	7328
327	3569	7313
328	3593	7328
329	3600	7309
330	3609	7295
331	3617	7278
332	3626	7264
333	3633	7245
334	3642	7230
335	3651	7216
336	3667	7214
337	3679	7207
338	3694	7203
339	3705	7193
340	3713	7177
341	3723	7164
342	3733	7150
343	3742	7136
344	3749	7118
345	3758	7104
346	3765	7086
347	3773	7069
348	3791	7073
349	3803	7063
350	3811	7046
351	3822	7036
352	3832	7024
353	3841	7009
354	3852	6998
355	3862	6987
356	3871	6973
357	3880	6959
358	3894	6953
