account_length,international_plan,voice_mail_plan,number_vmail_messages,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,total_minutes,total_calls,total_charge,area_code_area_code_408,area_code_area_code_415,area_code_area_code_510,state_MD,state_MN,state_NJ,state_TX,state_WV,state_other,avg_mt_minutes,avg_mt_calls,avg_mt_charge,avg_call_charge,avg_intl_call_charge,avg_call_minutes,avg_intl_call_minutes,both_plans
107,0,1,26,13.7,3,3.7,1,0,611.5,329,55.540000000000006,0,1,0,0,0,0,0,0,1,5.714953271028038,3.074766355140187,0.5190654205607477,0.16881458966565352,1.2333333333333334,1.858662613981763,4.566666666666666,0
137,0,0,0,12.2,5,3.29,0,0,527.2,328,59.00000000000001,0,1,0,0,0,1,0,0,0,3.8481751824817523,2.394160583941606,0.43065693430656937,0.17987804878048783,0.658,1.6073170731707318,2.44,0
84,1,0,0,6.6,7,1.78,2,0,558.1999999999999,248,65.02,1,0,0,0,0,0,0,0,1,6.645238095238095,2.9523809523809526,0.774047619047619,0.2621774193548387,0.2542857142857143,2.250806451612903,0.9428571428571428,0
75,1,0,0,10.1,3,2.73,3,0,501.9,356,49.36,0,1,0,0,0,0,0,0,1,6.691999999999999,4.746666666666667,0.6581333333333333,0.13865168539325842,0.91,1.4098314606741573,3.3666666666666667,0
121,0,1,24,7.5,7,2.03,3,0,779.3000000000001,314,76.28,0,0,1,0,0,0,0,0,1,6.440495867768596,2.5950413223140494,0.6304132231404959,0.24292993630573248,0.29,2.481847133757962,1.0714285714285714,0
147,1,0,0,7.1,6,1.92,0,0,471.90000000000003,269,44.980000000000004,0,1,0,0,0,0,0,0,1,3.210204081632653,1.8299319727891157,0.30598639455782317,0.16721189591078067,0.32,1.7542750929368032,1.1833333333333333,0
117,0,0,0,8.7,4,2.35,1,0,751.9000000000001,267,70.97,1,0,0,0,0,0,0,0,1,6.426495726495728,2.282051282051282,0.6065811965811966,0.2658052434456929,0.5875,2.816104868913858,2.175,0
141,1,1,37,11.2,5,3.02,0,0,807.0,292,77.52,0,1,0,0,0,0,0,1,0,5.723404255319149,2.0709219858156027,0.5497872340425531,0.2654794520547945,0.604,2.7636986301369864,2.2399999999999998,1
65,0,0,0,12.7,6,3.43,4,1,566.4000000000001,331,50.77,0,1,0,0,0,0,0,0,1,8.713846153846156,5.092307692307692,0.7810769230769231,0.15338368580060424,0.5716666666666667,1.7111782477341393,2.1166666666666667,0
74,0,0,0,9.1,5,2.46,0,0,547.1,369,54.62,0,1,0,0,0,0,0,0,1,7.393243243243243,4.986486486486487,0.7381081081081081,0.14802168021680215,0.492,1.4826558265582657,1.8199999999999998,0
168,0,0,0,11.2,2,3.02,1,0,374.8,295,37.17,1,0,0,0,0,0,0,0,1,2.230952380952381,1.755952380952381,0.22125,0.126,1.51,1.2705084745762711,5.6,0
95,0,0,0,12.3,5,3.32,3,0,596.5,278,56.32,0,0,1,0,0,0,0,0,1,6.278947368421052,2.9263157894736844,0.592842105263158,0.20258992805755396,0.6639999999999999,2.1456834532374103,2.46,0
161,0,0,0,5.4,9,1.46,4,1,811.3000000000001,292,90.83000000000001,0,1,0,0,0,0,0,0,1,5.039130434782609,1.813664596273292,0.5641614906832298,0.31106164383561646,0.1622222222222222,2.778424657534247,0.6000000000000001,0
