account_length,international_plan,voice_mail_plan,number_vmail_messages,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,total_minutes,total_calls,total_charge,area_code_area_code_408,area_code_area_code_415,area_code_area_code_510,state_MD,state_MN,state_NJ,state_TX,state_WV,state_other
107,0,1,26,13.7,3,3.7,1,0,611.5,329,55.540000000000006,0,1,0,0,0,0,0,0,1
137,0,0,0,12.2,5,3.29,0,0,527.2,328,59.00000000000001,0,1,0,0,0,1,0,0,0
84,1,0,0,6.6,7,1.78,2,0,558.1999999999999,248,65.02,1,0,0,0,0,0,0,0,1
75,1,0,0,10.1,3,2.73,3,0,501.9,356,49.36,0,1,0,0,0,0,0,0,1
121,0,1,24,7.5,7,2.03,3,0,779.3000000000001,314,76.28,0,0,1,0,0,0,0,0,1
147,1,0,0,7.1,6,1.92,0,0,471.90000000000003,269,44.980000000000004,0,1,0,0,0,0,0,0,1
117,0,0,0,8.7,4,2.35,1,0,751.9000000000001,267,70.97,1,0,0,0,0,0,0,0,1
141,1,1,37,11.2,5,3.02,0,0,807.0,292,77.52,0,1,0,0,0,0,0,1,0
65,0,0,0,12.7,6,3.43,4,1,566.4000000000001,331,50.77,0,1,0,0,0,0,0,0,1
74,0,0,0,9.1,5,2.46,0,0,547.1,369,54.62,0,1,0,0,0,0,0,0,1
168,0,0,0,11.2,2,3.02,1,0,374.8,295,37.17,1,0,0,0,0,0,0,0,1
95,0,0,0,12.3,5,3.32,3,0,596.5,278,56.32,0,0,1,0,0,0,0,0,1
161,0,0,0,5.4,9,1.46,4,1,811.3000000000001,292,90.83000000000001,0,1,0,0,0,0,0,0,1
85,0,1,27,13.8,4,3.73,1,0,566.5999999999999,304,61.28999999999999,1,0,0,0,0,0,0,0,1
76,0,1,33,10.0,5,2.7,1,0,568.2,239,57.800000000000004,0,0,1,0,0,0,0,0,1
73,0,0,0,13.0,2,3.51,1,0,576.7,252,60.39,0,1,0,0,0,0,1,0,0
147,0,0,0,10.6,4,2.86,0,0,603.5999999999999,343,56.14,0,1,0,0,0,0,0,0,1
77,0,0,0,5.7,6,1.54,5,1,441.9,274,34.48,1,0,0,0,0,0,0,0,1
130,0,0,0,9.5,19,2.57,0,0,437.70000000000005,289,45.49,0,1,0,0,0,0,0,0,1
111,0,0,0,7.7,6,2.08,2,0,437.3,310,38.97,0,1,0,0,0,0,0,0,1
132,0,0,0,10.3,2,2.78,0,0,563.3,273,45.3,0,0,1,0,0,0,0,0,1
57,0,1,39,9.5,3,2.57,0,0,586.8,342,60.67,1,0,0,0,0,0,0,0,1
54,0,0,0,14.7,4,3.97,3,0,391.9,241,40.64,1,0,0,0,0,0,0,0,1
20,0,0,0,6.3,6,1.7,0,0,629.7,295,62.42,0,1,0,0,0,0,0,0,1
49,0,0,0,11.1,1,3.0,1,0,513.0999999999999,316,46.6,0,0,1,0,0,0,0,0,1
75,0,0,0,10.3,5,2.78,1,0,673.8,310,66.64999999999999,0,0,1,0,0,0,0,0,1
12,0,0,0,11.8,3,3.19,1,1,782.2,327,76.49,1,0,0,0,0,0,0,0,1
57,0,1,25,8.3,4,2.24,0,0,585.3,285,56.25,1,0,0,0,0,0,0,0,1
36,0,1,30,14.5,6,3.92,0,0,438.1,317,44.5,1,0,0,0,0,0,0,0,1
78,0,0,0,10.0,5,2.7,1,0,582.3,288,51.5,0,1,0,0,0,0,0,0,1
